name	location	depth	elevation	date	time	timezone	material	env_package	description
FW511-7-26-12 0.2 micron filter	FW511	6.0579	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
DP16D-67-11-27-12 0.2 micron filter	DP16D	6.0152280000000005	null	2012-11-27	13:20:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW056-87-1-8-13 10 micron filter	GW056	3.9928800000000004	null	2013-01-08	10:40:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
DP16D-67-11-27-12 10 micron filter	DP16D	6.0152280000000005	null	2012-11-27	13:20:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW057-10-1-8-13 0.2 micron filter	GW057	16.52016	null	2013-01-08	13:45:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW021-46-11-27-12 0.2 micron filter	FW021	5.978652000000001	null	2012-11-27	10:17:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW057-10-1-8-13 10 micron filter	GW057	16.52016	null	2013-01-08	13:45:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW021-46-11-27-12 10 micron filter	FW021	5.978652000000001	null	2012-11-27	10:17:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW066-71-2-20-13 0.2 micron filter	GW066	6.644640000000001	null	2013-02-20	13:57:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW021-7-26-12 0.2 micron filter	FW021	5.978652000000001	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW125-85-2-20-13 10 micron filter	GW125	153.0096	null	2013-02-20	12:02:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW021-7-26-12 10 micron filter	FW021	5.978652000000001	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW066-71-2-20-13 10 micron filter	GW066	6.644640000000001	null	2013-02-20	13:57:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW104-67-11-14-12 0.2 micron filter	FW104	12.58062	null	2012-11-14	14:19:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW084-56-11-28-12 0.2 micron filter	GW084	7.7114400000000005	null	2012-11-28	15:26:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW104-67-11-14-12 10 micron filter	FW104	12.58062	null	2012-11-14	14:19:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW084-56-11-28-12 10 micron filter	GW084	7.7114400000000005	null	2012-11-28	15:26:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW104-7-26-12 0.2 micron filter	FW104	12.58062	null	2012-07-26	09:10:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW127-16-11-26-12 0.2 micron filter	GW127	6.339840000000001	null	2012-11-26	11:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW104-7-26-12 10 micron filter	FW104	12.58062	null	2012-07-26	09:10:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW085-58-12-3-12 0.2 micron filter	GW085	17.16024	null	2012-12-03	14:27:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW106-11-13-12 0.2 micron filter	FW106	12.2301	null	2012-11-13	13:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW085-58-12-3-12 10 micron filter	GW085	17.16024	null	2012-12-03	14:27:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW106-11-13-12 10 micron filter	FW106	12.2301	null	2012-11-13	13:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW086-25-12-3-12 0.2 micron filter	GW086	8.26008	null	2012-12-03	15:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW106-7-25-12 0.2 micron filter	FW106	12.2301	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW086-25-12-3-12 10 micron filter	GW086	8.26008	null	2012-12-03	15:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
FW109-1-7-25-12 10 micron filter	FW109	11.708892	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
GW089-62-1-7-13 0.2 micron filter	GW089	7.315200000000001	null	2013-01-07	15:16:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	filtered groundwater
